,Unnamed: 0,date,review,rating,isEdited,userName,title,developerResponse,temiz icerik,Cluster,sentiment,category,PCA1,PCA2
0,0,2018-08-22 15:49:01,"App intuitiva, servizi offerti vari ed utili in tutto, ma purtroppo dopo un inizio entusiasmante di utilizzo l’ultimo periodo è stato un inanellarsi di disservizi, primo fra tutti il tempo: per avere qualsiasi cosa, in negozi a non più di 1 km di distanza ho aspettato anche tre quarti d’ora, poi i corrieri rispetto ai primi tempi (non ho cambiato assolutamente nulla nell’indirizzo) non trovavano la casa, la scala e addirittura il piano. Ultimo disservizio, oltre al solito tempo (i corrieri sono lontani km da casa e dai negozi vicini a me) mi portano un prodotto al posto di un altro e senza avvisarmi: Glovo mi ha scontato il prezzo di consegna del successivo e mi ha rimborsato sulla carta l’importo complessivo del prodotto (sarebbe bastato non far pagare il successivo ordine o scalare l’importo). Il servizio di contatto non è immediato se non con La chat e non vi è un numero telefonico. Non si può far pagare 4 euro per attendere a lungo o far consegnare prodotti a corrieri lontani 7 km o oltre da casa propria o dai negozi. Premetto che utilizzo molti servizi in App del genere è solo con Glovo sto riscontrando tali problemi è solo da un paio di mesi. Si peggiora anziché migliorare. Continuerò ad usarla nella speranza migliori, diversamente ne farò a meno.",5,False,Giulio mal,"Bella, ma non balla",,app intuitiva  servizi offerti vari ed utili in tutto  ma purtroppo dopo un inizio entusiasmante di utilizzo l ultimo periodo è stato un inanellarsi di disservizi  primo fra tutti il tempo  per avere qualsiasi cosa  in negozi a non più di 1 km di distanza ho aspettato anche tre quarti d ora  poi i corrieri rispetto ai primi tempi  non ho cambiato assolutamente nulla nell indirizzo  non trovavano la casa  la scala e addirittura il piano  ultimo disservizio  oltre al solito tempo  i corrieri sono lontani km da casa e dai negozi vicini a me  mi portano un prodotto al posto di un altro e senza avvisarmi  glovo mi ha scontato il prezzo di consegna del successivo e mi ha rimborsato sulla carta l importo complessivo del prodotto  sarebbe bastato non far pagare il successivo ordine o scalare l importo   il servizio di contatto non è immediato se non con la chat e non vi è un numero telefonico  non si può far pagare 4 euro per attendere a lungo o far consegnare prodotti a corrieri lontani 7 km o oltre da casa propria o dai negozi  premetto che utilizzo molti servizi in app del genere è solo con glovo sto riscontrando tali problemi è solo da un paio di mesi  si peggiora anziché migliorare  continuerò ad usarla nella speranza migliori  diversamente ne farò a meno ,2,0.5859,Other,-0.24146004402880006,0.05324564309319376
1,1,2018-02-23 17:06:17,"Ho ordinato tre volte con la app! Le prime due abbastanza bene anche se vedevo dal tracciamento del corriere che faceva giri assurdi prima di arrivare a casa mia! Possibile che non abbiamo un navigatore per arrivare diretti al destinatario? Il risultato è che la roba arrivava già un po’ fredda! Ma la cosa più grave è successa la una volta: mi è stato consegnato l’ordine (cucina cinese thailandese) senza la birra (pagata 6 euro)! Nessun numero da contattare per evidenziare il problema! Chiamo direttamente il ristorante che mi dice che la birra l’ha consegnata al corriere e che avrebbe chiamato il corriere per verificare. Dopo qualche minuto mi richiama il ristorante dicendo che il corriere afferma di aver consegnato tutto, cosa evidentemente non vera! Comunque problema non risolto ! E nessuna possibilità di parlare con qualcuno di Glovo! Il giorno dopo ricevo via mail la richiesta di valutazione del servizio da parte di Glovo: segnalo il problema della sera prima ma non ho mai ricevuto nessun feedback! Ora ...la birra l’ho pagata ...non l’ho ricevuta e oltre a pasteggiare ad acqua ci ho rimesso 6 euro! Fiducia decisamente compromessa !",5,False,Manfrepod,Servizio pessimo,"{'id': 2667917, 'body': ""Ciao! Ci dispiace tanto per l'accaduto :-(\nTi invitiamo a scriverci dalla sezione contatti dall'app e provvederemo al rimborso per il prodotto non ricevuto!\nGrazie mille, ti auguriamo buona giornata :-)\nGlovo App\n\nGlovo App"", 'modified': '2018-02-24T11:47:56Z'}",ho ordinato tre volte con la app  le prime due abbastanza bene anche se vedevo dal tracciamento del corriere che faceva giri assurdi prima di arrivare a casa mia  possibile che non abbiamo un navigatore per arrivare diretti al destinatario  il risultato è che la roba arrivava già un po  fredda  ma la cosa più grave è successa la una volta  mi è stato consegnato l ordine  cucina cinese thailandese  senza la birra  pagata 6 euro   nessun numero da contattare per evidenziare il problema  chiamo direttamente il ristorante che mi dice che la birra l ha consegnata al corriere e che avrebbe chiamato il corriere per verificare  dopo qualche minuto mi richiama il ristorante dicendo che il corriere afferma di aver consegnato tutto  cosa evidentemente non vera  comunque problema non risolto   e nessuna possibilità di parlare con qualcuno di glovo  il giorno dopo ricevo via mail la richiesta di valutazione del servizio da parte di glovo  segnalo il problema della sera prima ma non ho mai ricevuto nessun feedback  ora    la birra l ho pagata    non l ho ricevuta e oltre a pasteggiare ad acqua ci ho rimesso 6 euro  fiducia decisamente compromessa ,2,-0.7184,Other,-0.3504572417535196,0.06205888161629062
2,2,2018-12-21 14:10:39,"Uso Glovo da che è nato e all’inizio tutto ok. Poi negli ultimi mesi sono arrivati problemi con i pagamenti che, non si sa come, a volte non vengono accettati per cui non puoi fare l’ordine. Oggi è stato toccato il fondo. Ordino tramite Glovo perché la mia pausa pranzo è tra un appuntamento e l’altro, quindi di un tempo veramente risicato e per questo sto molto attenta a fornire bene le indicazioni per la consegna. Ricevo una chiamata a cui non riesco a rispondere, una decina di minuti dopo richiamo ed è il call center di Glovo che mi dice che verrò ricontattata a breve, dopodiché arriva una notifica che il mio ordine è stato cancellato perché il ragazzo che consegna non ha trovato lo studio in cui lavoro. Ovviamente non esiste un numero da chiamare!! Compilo il form sperando di essere ricontattata ma niente! Trovo il numero del corriere, lo chiamo nella speranza che, essendo passati 15 minuti sia ancora nei paraggi per riconsegnare il mio ordine. Mi risponde che lui sta lavorando e deve fare un’altra consegna e che Glovo ha cancellato il mio ordine per cui lui non può fare niente, neanche mettersi in contatto con Glovo e mette giù. Morale: ho praticamente saltato il pranzo. Ultima volta che uso Glovo.",4,False,Martitiny,Servizio pessimo,,uso glovo da che è nato e all inizio tutto ok  poi negli ultimi mesi sono arrivati problemi con i pagamenti che  non si sa come  a volte non vengono accettati per cui non puoi fare l ordine  oggi è stato toccato il fondo  ordino tramite glovo perché la mia pausa pranzo è tra un appuntamento e l altro  quindi di un tempo veramente risicato e per questo sto molto attenta a fornire bene le indicazioni per la consegna  ricevo una chiamata a cui non riesco a rispondere  una decina di minuti dopo richiamo ed è il call center di glovo che mi dice che verrò ricontattata a breve  dopodiché arriva una notifica che il mio ordine è stato cancellato perché il ragazzo che consegna non ha trovato lo studio in cui lavoro  ovviamente non esiste un numero da chiamare   compilo il form sperando di essere ricontattata ma niente  trovo il numero del corriere  lo chiamo nella speranza che  essendo passati 15 minuti sia ancora nei paraggi per riconsegnare il mio ordine  mi risponde che lui sta lavorando e deve fare un altra consegna e che glovo ha cancellato il mio ordine per cui lui non può fare niente  neanche mettersi in contatto con glovo e mette giù  morale  ho praticamente saltato il pranzo  ultima volta che uso glovo ,2,0.5859,Other,-0.3434605402656434,0.039881302581837155
3,3,2019-08-05 15:06:58,"Ho provato molte app per le consegne a domicilio, ma Glovo è quella che fornisce il servizio migliore. Ottima la funzione di valutazione del corriere: se non ci è piaciuto, non lo mandano più da noi. L’unico difetto è lo scarso numero di supermercati, rispetto ad app come Supermercato24, che resta la migliore per la spesa. Ma per pizza, cinese, gelati, sushi, arancini siciliani, cornetti caldi, hamburger, etc. è la migliore. 
Peccato non supporti la consegna della colazione la mattina presto, così da far risparmiare tempo a chi è costretto ad andare al bar tutti i giorni. Ma almeno è l’unica che fornisce un servizio a partire dalle 10:30 di mattina, mentre tutte le altre app non consegnano prima delle 12:30.
Funzionalità che vorrei vedere: 
1) Supporto intolleranze: poter elencare esplicitamente i cibi senza lattosio (es. gelati, pizza o cappuccino), senza latte (cosa diversa da senza lattosio!), senza glutine (es. pizza o dolci), senza arachidi, senza soia, etc. per chi è intollerante o allergico a questi ingredienti.
2) Supporto di servizi di manutenzione e emergenza, come Idraulico, Elettricista, Muratore, Falegname, Giardiniere, Tecnico Computer, etc. per interventi a domicilio.",5,False,EmanueleSabetta,La migliore app per cibo a domicilio,,ho provato molte app per le consegne a domicilio  ma glovo è quella che fornisce il servizio migliore  ottima la funzione di valutazione del corriere  se non ci è piaciuto  non lo mandano più da noi  l unico difetto è lo scarso numero di supermercati  rispetto ad app come supermercato24  che resta la migliore per la spesa  ma per pizza  cinese  gelati  sushi  arancini siciliani  cornetti caldi  hamburger  etc  è la migliore   peccato non supporti la consegna della colazione la mattina presto  così da far risparmiare tempo a chi è costretto ad andare al bar tutti i giorni  ma almeno è l unica che fornisce un servizio a partire dalle 10 30 di mattina  mentre tutte le altre app non consegnano prima delle 12 30  funzionalità che vorrei vedere   1  supporto intolleranze  poter elencare esplicitamente i cibi senza lattosio  es  gelati  pizza o cappuccino   senza latte  cosa diversa da senza lattosio    senza glutine  es  pizza o dolci   senza arachidi  senza soia  etc  per chi è intollerante o allergico a questi ingredienti  2  supporto di servizi di manutenzione e emergenza  come idraulico  elettricista  muratore  falegname  giardiniere  tecnico computer  etc  per interventi a domicilio ,2,0.0,Other,-0.12885446922354424,0.037921851923521356
4,4,2020-05-24 19:01:37,"Dopo anni di vederli in giro non sono mai stato attirato da questo servizio, anzi, qualche anno fa quando ho saputo che sentito che avessero siglato accordo con McDonald’s avevo persino ho brutta impressione del brand...

A causa coronavirus un po’ come tanti ho provato ad usarlo e ad oggi la utilizzo circa cinque volte a settimana.

L’app è eccellente sotto ogni punto di vista, e vedo che l’aggiornano e sviluppano frequentemente. Mai trovato finora un bug o un qualcosa che andasse storto. Il servizio di attenzione al cliente anche eccellente, mi ha lasciato più volte stupito: ho parlato quasi istantaneamente via chat con un ragazzo, ho anche fatto domande al loro chatbot e ottenuto risposte veloci. Gli rider ti possono chiamare tramite un numero credo ricordare di Milano che evidentemente è parte del servizio Glovo. Anche buste e contenitore di carta, resistente e riciclabili. Noto che dietro c’è una politica aziendale secondo me di successo. Gli auguro il meglio e consiglio l’utilizzo.",5,False,victorto1987,Consiglio a tutti,,dopo anni di vederli in giro non sono mai stato attirato da questo servizio  anzi  qualche anno fa quando ho saputo che sentito che avessero siglato accordo con mcdonald s avevo persino ho brutta impressione del brand     a causa coronavirus un po  come tanti ho provato ad usarlo e ad oggi la utilizzo circa cinque volte a settimana   l app è eccellente sotto ogni punto di vista  e vedo che l aggiornano e sviluppano frequentemente  mai trovato finora un bug o un qualcosa che andasse storto  il servizio di attenzione al cliente anche eccellente  mi ha lasciato più volte stupito  ho parlato quasi istantaneamente via chat con un ragazzo  ho anche fatto domande al loro chatbot e ottenuto risposte veloci  gli rider ti possono chiamare tramite un numero credo ricordare di milano che evidentemente è parte del servizio glovo  anche buste e contenitore di carta  resistente e riciclabili  noto che dietro c è una politica aziendale secondo me di successo  gli auguro il meglio e consiglio l utilizzo ,2,-0.296,UX,-0.20808909198842301,0.11514300494625299
5,5,2019-03-16 19:19:53,"Ho usato l’app per qualche mese, ogni volta che si verificava un problema che richiedeva l’assistenza (consegne incomplete, glovo annullati) non c’era mai modo di risolverlo e non era mai colpa loro.
Il servizio consegna spesa (per esperienza personale) non funziona perché mettono prodotti a caso in lista senza verificarne la disponibilità reale presso lo store e il fattorino vi chiamerà dicendo che questo non c’è, quest altro neanche...e dopo mezz’ora al telefono annullerà il glovo.
Si è toccato il fondo quando ho inviato un ordine mancante di una pizza per errore. Contatto immediatamente (un minuto dopo) il centro assistenza, mi viene detto che o devo fare un altro ordine (con doppia consegna e pizze che sarebbero arrivate in differita) o devo annullare quello (al costo di 3,60 €, perché il glover si era già mosso...dopo un minuto e senza che neanche il ristorante avesse iniziato a preparare l’ordine, ma fatemi il piacere) e farne un altro.
Non esiste altra applicazione di consegne a domicilio che di fronte ad una richiesta tempestiva (un minuto dopo l’invio) di aggiungere ulteriori prodotti al carrello si rifiuta e carica ulteriori costi al cliente.
App cancellata, il mercato è vasto, tutte le altre sono migliori, addio.",1,False,vaxxx84,"Tutte le volte che c’è un problema, l’assistenza non può farci niente",,ho usato l app per qualche mese  ogni volta che si verificava un problema che richiedeva l assistenza  consegne incomplete  glovo annullati  non c era mai modo di risolverlo e non era mai colpa loro  il servizio consegna spesa  per esperienza personale  non funziona perché mettono prodotti a caso in lista senza verificarne la disponibilità reale presso lo store e il fattorino vi chiamerà dicendo che questo non c è  quest altro neanche   e dopo mezz ora al telefono annullerà il glovo  si è toccato il fondo quando ho inviato un ordine mancante di una pizza per errore  contatto immediatamente  un minuto dopo  il centro assistenza  mi viene detto che o devo fare un altro ordine  con doppia consegna e pizze che sarebbero arrivate in differita  o devo annullare quello  al costo di 3 60    perché il glover si era già mosso   dopo un minuto e senza che neanche il ristorante avesse iniziato a preparare l ordine  ma fatemi il piacere  e farne un altro  non esiste altra applicazione di consegne a domicilio che di fronte ad una richiesta tempestiva  un minuto dopo l invio  di aggiungere ulteriori prodotti al carrello si rifiuta e carica ulteriori costi al cliente  app cancellata  il mercato è vasto  tutte le altre sono migliori  addio ,2,0.0,Other,-0.3369436504807406,0.08835423565309121
6,6,2018-02-25 10:11:24,"Scrivo consegna tra le 19:20, inoltro l’ordine e parte direttamente senza neanche farmi vedere il riassunto. Il che già mi sembrava strano. Guardo lo stato dell’ordine e segnava già « ordine in preparazione » alle 16. Telefono al Glover e  gli spiego il problema. Mi dice che avrebbe contattato Glovo per capire e intanto diceva a quelli del Mc di non preparare nulla visto che ancora non avevano iniziato. Mi richiama e mi dice: « hanno detto che l’errore è suo. Se vuole non le porto nulla ma ormai deve pagare comunque e non si può fare niente ». Risultato cena consegnata alle 16:30, per altro con parte dell’ordine sbagliato!
Scandalosi! Non ordinerò mai più, piuttosto prendo la macchina e vado a prendermi le cose, bastava ritardare l’ordine, non dovevate rimborsarmi. Avendo chiamato immediatamente il mio ordine non era neanche stato preparato. La colpa era vostra, ma se anche fosse stato un errore mio (cosa che non è!), ci voleva poco a modificare l’ordine e a consegnarmi le cose per l’orario che avevo scelto. Così si perdono clienti.

In risposta: si si vi ho contattati ed il vostro operatore dopo essersi detto dispiaciuto e che però non “sapeva che farci“ ha cominciato a far finta di non sentirmi al telefono e mi ha attaccato in faccia. Ieri sera abbiamo usato Deliveroo 😊.",1,True,paolalivia,Scandalosi,"{'id': 2667898, 'body': 'Ciao paola,\n\nCi dispiace molto se la tua esperienza con Glovo non è stata delle migliori. Cerchiamo sempre di rendere il nostro cliente il più sodisfatto possibile.Ti preghiamo di contattarci attraverso la sezione "" contatti"" della pagina web di Glovo in modo che il nostro servizio clienti possa mettersi in contatto con te il prima possibile. Buona giornata!\n\nGlovo App', 'modified': '2018-02-24T11:45:49Z'}",scrivo consegna tra le 19 20  inoltro l ordine e parte direttamente senza neanche farmi vedere il riassunto  il che già mi sembrava strano  guardo lo stato dell ordine e segnava già   ordine in preparazione   alle 16  telefono al glover e  gli spiego il problema  mi dice che avrebbe contattato glovo per capire e intanto diceva a quelli del mc di non preparare nulla visto che ancora non avevano iniziato  mi richiama e mi dice    hanno detto che l errore è suo  se vuole non le porto nulla ma ormai deve pagare comunque e non si può fare niente    risultato cena consegnata alle 16 30  per altro con parte dell ordine sbagliato  scandalosi  non ordinerò mai più  piuttosto prendo la macchina e vado a prendermi le cose  bastava ritardare l ordine  non dovevate rimborsarmi  avendo chiamato immediatamente il mio ordine non era neanche stato preparato  la colpa era vostra  ma se anche fosse stato un errore mio  cosa che non è    ci voleva poco a modificare l ordine e a consegnarmi le cose per l orario che avevo scelto  così si perdono clienti   in risposta  si si vi ho contattati ed il vostro operatore dopo essersi detto dispiaciuto e che però non  sapeva che farci  ha cominciato a far finta di non sentirmi al telefono e mi ha attaccato in faccia  ieri sera abbiamo usato deliveroo ,2,0.5859,Other,-0.3607767377797242,0.06939482865526848
7,7,2019-03-21 13:51:35,"Una mia amica (che abita a 5 minuti a piedi da me) ha scaricato quest’applicazione, ma la sua zona è fuori dall’area di consegna, la cosa l’è sembrata strana dato che la casa di un’altra nostra amica che abita nel nostro stesso quartiere, a 5-6 minuti di motorino/macchina da noi (circa 1 km di distanza) invece è all’interno dell’area di consegna, allora ho scaricato quest’applicazione per verificare anche io... ed aveva ragione, pur stando in una zona abbastanza centrale e non periferica, il servizio non copre la nostra area. 

La cosa strana però è che ho letto recensioni di persone che si lamentano che i corrieri vanno a comprare le cose a 7-8 km di distanza (e che quindi impiegavano ore per consegnare l’ordine)... allora non capisco perché una zona che si trova a 5 minuti di motorino (1 km) da una zona coperta, non lo sia a sua volta. 

Metto 2 stelle perché non è normale che pur essendo in una zona abbastanza centrale comunque la mia abitazione non sia coperta da questo servizio, ma essendo fuori l’area di consegna non ho potuto provare l’applicazione è quindi non mi sembra corretto mettere 1 stella, anche se leggendo le altre recensioni negative, forse è stato meglio così, probabilmente non avrebbe meritato neanche una stella.",2,False,WhatNobodySays,Boh,,una mia amica  che abita a 5 minuti a piedi da me  ha scaricato quest applicazione  ma la sua zona è fuori dall area di consegna  la cosa l è sembrata strana dato che la casa di un altra nostra amica che abita nel nostro stesso quartiere  a 5 6 minuti di motorino macchina da noi  circa 1 km di distanza  invece è all interno dell area di consegna  allora ho scaricato quest applicazione per verificare anche io    ed aveva ragione  pur stando in una zona abbastanza centrale e non periferica  il servizio non copre la nostra area    la cosa strana però è che ho letto recensioni di persone che si lamentano che i corrieri vanno a comprare le cose a 7 8 km di distanza  e che quindi impiegavano ore per consegnare l ordine     allora non capisco perché una zona che si trova a 5 minuti di motorino  1 km  da una zona coperta  non lo sia a sua volta    metto 2 stelle perché non è normale che pur essendo in una zona abbastanza centrale comunque la mia abitazione non sia coperta da questo servizio  ma essendo fuori l area di consegna non ho potuto provare l applicazione è quindi non mi sembra corretto mettere 1 stella  anche se leggendo le altre recensioni negative  forse è stato meglio così  probabilmente non avrebbe meritato neanche una stella ,2,-0.6908,Other,-0.22184257725828602,0.0468842185449464
8,8,2017-12-21 18:34:05,"L’App è ben fatta: molto intuitiva, veloce e comoda. Trovare ciò che si cerca è semplicissimo e rapido.
Il servizio di Glovo invece è pessimo. L’ho provato due volte ed entrambe le volte ho avuto problemi con il pagamento - inizialmente ha accettato la carta scalando il classico euro per testarne la compatibilità, salvo poi non riuscire a prelevare nel momento in cui mi è arrivato il cibo. La prima volta il corriere mi ha chiamato dieci minuti dopo la consegna per farsi dare i contanti, la seconda volta (carta diversa di un mio amico ma stesso problema) il corriere non ha accettato contanti e ho dovuto pagare con la mia, che chissà come ha funzionato.
L’ultima volta, oggi, non è arrivata tutta l’ordinazione. Provando a cercare un modo per contattare il servizio velocemente non ho trovato nessun numero - avuto poi via messaggio direttamente dal corriere, quindi esiste e dovrebbe essere messo bene in evidenza. Chiedendo che mi rimandassero quanto ordinato e già pagato hanno detto che non potevano rifare l’ordine e mi hanno proposto un rimborso parziale di quanto preso. Che era un menù di McDonald senza panino. Mi sono arrivate solo patatine e coca e rimborso di 3,90€.
Scritta la recensione e cancellerò immediatamente l’App!",1,False,Mullicane,"Bella App, servizi pessimo","{'id': 2110595, 'body': 'Ciao! Ci dispiace tanto che tu abbia avuto brutte esperienze col nostro servizio. Per qualsiasi dubbio non esitare a scriverci usando il tasto "" Contattaci"" che trovi nella nostra app o pagina web. Stiamo cercando di migliorare il nostro sistema di pagamento che purtroppo a volte da errore con determinati tipi di carta. Grazie per il tuo feedback\n\nGlovo App', 'modified': '2017-12-22T15:51:09Z'}",l app è ben fatta  molto intuitiva  veloce e comoda  trovare ciò che si cerca è semplicissimo e rapido  il servizio di glovo invece è pessimo  l ho provato due volte ed entrambe le volte ho avuto problemi con il pagamento   inizialmente ha accettato la carta scalando il classico euro per testarne la compatibilità  salvo poi non riuscire a prelevare nel momento in cui mi è arrivato il cibo  la prima volta il corriere mi ha chiamato dieci minuti dopo la consegna per farsi dare i contanti  la seconda volta  carta diversa di un mio amico ma stesso problema  il corriere non ha accettato contanti e ho dovuto pagare con la mia  che chissà come ha funzionato  l ultima volta  oggi  non è arrivata tutta l ordinazione  provando a cercare un modo per contattare il servizio velocemente non ho trovato nessun numero   avuto poi via messaggio direttamente dal corriere  quindi esiste e dovrebbe essere messo bene in evidenza  chiedendo che mi rimandassero quanto ordinato e già pagato hanno detto che non potevano rifare l ordine e mi hanno proposto un rimborso parziale di quanto preso  che era un menù di mcdonald senza panino  mi sono arrivate solo patatine e coca e rimborso di 3 90   scritta la recensione e cancellerò immediatamente l app ,2,0.7506,UX,-0.30497682423851036,0.06448463720947933
9,9,2019-10-21 07:16:53,"Uso Glovo da tanto e devo dire che finché le cose vanno per il verso giusto non c’è nulla da eccepire, i corrieri sono tracciati e quasi sempre puntuali al minuto. 
Per qualsiasi intoppo, come prodotti mancanti, danneggiati o errati, l’assistenza é peggio che non averla.
Alla prima esperienza negativa con l’assistenza ho lasciato correre, può capitare a tutti. Passi anche la seconda. Ma alla terza volta che mi trovo un ordine dove i prodotti mancano o sono errati e non riesco a trovare una soluzione mi sono stufato. Dalla mia spesa mancava un prodotto, effettivamente compariva nella mia lista ma non nella loro, senza quel prodotto non avrei raggiunto il minimo di spesa e mi è stato accreditato un costo di consegna pari a 4,90€  (2€ in più del previsto). Nonostante io abbia portato all’operatore prove dell’accaduto non è stato potuto fare nulla, l’operatore non faceva altro che dirmi “posso fare qualcos’altro per lei” ignorando quale fosse il problema reale. Adesso, il problema non sono i soldi, si tratta di pochi euro, ma l’idea  di essere preso in giro ed in più trovarmi senza prodotto, non mi è piaciuta affatto.
La prossima volta mi farò una bella passeggiata e la spesa la andrò a fare da me.",1,False,Mannaggiaaisoprannomi,Assistenza clienti inesistente,,uso glovo da tanto e devo dire che finché le cose vanno per il verso giusto non c è nulla da eccepire  i corrieri sono tracciati e quasi sempre puntuali al minuto   per qualsiasi intoppo  come prodotti mancanti  danneggiati o errati  l assistenza é peggio che non averla  alla prima esperienza negativa con l assistenza ho lasciato correre  può capitare a tutti  passi anche la seconda  ma alla terza volta che mi trovo un ordine dove i prodotti mancano o sono errati e non riesco a trovare una soluzione mi sono stufato  dalla mia spesa mancava un prodotto  effettivamente compariva nella mia lista ma non nella loro  senza quel prodotto non avrei raggiunto il minimo di spesa e mi è stato accreditato un costo di consegna pari a 4 90    2  in più del previsto   nonostante io abbia portato all operatore prove dell accaduto non è stato potuto fare nulla  l operatore non faceva altro che dirmi  posso fare qualcos altro per lei  ignorando quale fosse il problema reale  adesso  il problema non sono i soldi  si tratta di pochi euro  ma l idea  di essere preso in giro ed in più trovarmi senza prodotto  non mi è piaciuta affatto  la prossima volta mi farò una bella passeggiata e la spesa la andrò a fare da me ,2,-0.7506,Other,-0.3061331998794885,0.04963589903826544
